#OTU ID	Cd11	Cd21	CG11	CG21	Cr11	Cr21	Cu11	Cu21	oh11	oh21	PAP11	PAP21	PNP11	PNP21	Seed
ASV_22	0	0	12	1748	110	9446	0	0	0	52	31	806	1977	620	4
ASV_49	0	0	586	368	0	0	0	0	4027	710	0	0	1	0	0
ASV_1140	0	0	10	0	0	0	0	0	1	2	0	0	0	0	0
ASV_425	0	0	113	0	0	0	0	0	12	0	0	0	0	0	6
ASV_596	0	0	16	0	0	0	0	0	29	6	0	0	1	0	11
ASV_147	0	0	136	0	0	0	0	0	861	0	0	0	0	0	64
ASV_498	0	0	11	1	20	95	0	0	1	5	0	0	3	6	0
ASV_204	0	0	18	7	0	0	0	0	54	18	118	201	9	0	119
ASV_400	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0
ASV_486	0	0	29	0	0	0	0	0	63	0	0	0	0	0	0
ASV_627	0	0	33	10	0	0	0	0	11	4	0	0	0	0	0
ASV_304	0	0	112	0	0	0	0	0	126	0	0	0	0	0	0
ASV_299	0	0	101	75	1	1	0	0	16	11	0	0	9	5	23
ASV_175	0	0	58	17	1	0	0	0	408	107	1	0	3	0	102
ASV_702	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
ASV_968	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
ASV_569	0	0	49	9	2	10	0	0	4	4	0	0	0	0	0
ASV_424	0	0	84	0	0	0	0	0	35	0	0	0	23	80	4
ASV_290	0	0	65	124	0	0	0	0	1	91	0	0	0	0	0
ASV_138	0	0	375	54	0	0	0	0	579	194	0	0	4	4	0
ASV_280	0	0	63	0	0	0	0	0	127	0	0	0	0	0	108
ASV_335	0	0	12	0	0	0	0	0	103	6	0	0	2	90	3
ASV_351	0	0	6	0	2	0	0	0	5	0	0	2	0	0	171
ASV_339	0	0	38	163	0	0	0	0	5	0	0	0	0	0	0
ASV_668	0	0	22	14	0	0	0	0	2	3	0	0	1	0	0
ASV_707	0	0	18	21	1	0	0	0	0	3	0	0	0	0	0
ASV_67	0	0	13	3392	0	0	0	0	4	91	0	0	14	10	0
ASV_74	0	0	196	1683	0	0	0	0	250	601	2	2	0	0	131
ASV_132	0	0	127	491	6	17	0	0	128	218	0	0	21	152	109
ASV_271	0	0	45	239	0	0	0	0	0	4	0	58	0	0	0
ASV_293	0	0	75	163	0	8	0	0	0	8	1	1	2	1	8
